GEO_ID,NAME,B11009_005E
17001,"Adams County, Illinois",60
17003,"Alexander County, Illinois",0
17005,"Bond County, Illinois",6
17007,"Boone County, Illinois",27
17009,"Brown County, Illinois",20
17011,"Bureau County, Illinois",32
17013,"Calhoun County, Illinois",0
17015,"Carroll County, Illinois",0
17017,"Cass County, Illinois",23
17019,"Champaign County, Illinois",176
17021,"Christian County, Illinois",0
17023,"Clark County, Illinois",2
17025,"Clay County, Illinois",0
17027,"Clinton County, Illinois",49
17029,"Coles County, Illinois",8
17031,"Cook County, Illinois",2911
17033,"Crawford County, Illinois",25
17035,"Cumberland County, Illinois",0
17037,"DeKalb County, Illinois",88
17039,"De Witt County, Illinois",6
17041,"Douglas County, Illinois",2
17043,"DuPage County, Illinois",288
17045,"Edgar County, Illinois",2
17047,"Edwards County, Illinois",0
17049,"Effingham County, Illinois",11
17051,"Fayette County, Illinois",8
17053,"Ford County, Illinois",7
17055,"Franklin County, Illinois",12
17057,"Fulton County, Illinois",3
17059,"Gallatin County, Illinois",4
17061,"Greene County, Illinois",0
17063,"Grundy County, Illinois",20
17065,"Hamilton County, Illinois",0
17067,"Hancock County, Illinois",0
17069,"Hardin County, Illinois",0
17071,"Henderson County, Illinois",10
17073,"Henry County, Illinois",11
17075,"Iroquois County, Illinois",18
17077,"Jackson County, Illinois",68
17079,"Jasper County, Illinois",0
17081,"Jefferson County, Illinois",10
17083,"Jersey County, Illinois",35
17085,"Jo Daviess County, Illinois",7
17087,"Johnson County, Illinois",0
17089,"Kane County, Illinois",205
17091,"Kankakee County, Illinois",48
17093,"Kendall County, Illinois",64
17095,"Knox County, Illinois",49
17097,"Lake County, Illinois",197
17099,"LaSalle County, Illinois",18
17101,"Lawrence County, Illinois",3
17103,"Lee County, Illinois",12
17105,"Livingston County, Illinois",4
17107,"Logan County, Illinois",8
17109,"McDonough County, Illinois",0
17111,"McHenry County, Illinois",137
17113,"McLean County, Illinois",68
17115,"Macon County, Illinois",69
17117,"Macoupin County, Illinois",14
17119,"Madison County, Illinois",242
17121,"Marion County, Illinois",15
17123,"Marshall County, Illinois",0
17125,"Mason County, Illinois",0
17127,"Massac County, Illinois",0
17129,"Menard County, Illinois",19
17131,"Mercer County, Illinois",33
17133,"Monroe County, Illinois",5
17135,"Montgomery County, Illinois",0
17137,"Morgan County, Illinois",29
17139,"Moultrie County, Illinois",3
17141,"Ogle County, Illinois",0
17143,"Peoria County, Illinois",97
17145,"Perry County, Illinois",4
17147,"Piatt County, Illinois",33
17149,"Pike County, Illinois",12
17151,"Pope County, Illinois",0
17153,"Pulaski County, Illinois",5
17155,"Putnam County, Illinois",0
17157,"Randolph County, Illinois",11
17159,"Richland County, Illinois",0
17161,"Rock Island County, Illinois",71
17163,"St. Clair County, Illinois",79
17165,"Saline County, Illinois",0
17167,"Sangamon County, Illinois",107
17169,"Schuyler County, Illinois",0
17171,"Scott County, Illinois",2
17173,"Shelby County, Illinois",61
17175,"Stark County, Illinois",3
17177,"Stephenson County, Illinois",16
17179,"Tazewell County, Illinois",31
17181,"Union County, Illinois",9
17183,"Vermilion County, Illinois",25
17185,"Wabash County, Illinois",2
17187,"Warren County, Illinois",5
17189,"Washington County, Illinois",7
17191,"Wayne County, Illinois",7
17193,"White County, Illinois",45
17195,"Whiteside County, Illinois",3
17197,"Will County, Illinois",267
17199,"Williamson County, Illinois",35
17201,"Winnebago County, Illinois",154
17203,"Woodford County, Illinois",47