GEO_ID,NAME,
17001,"Adams County, Illinois",0.03510825
17003,"Alexander County, Illinois",0
17005,"Bond County, Illinois",0.015584416
17007,"Boone County, Illinois",0.01921708
17009,"Brown County, Illinois",0.13157895
17011,"Bureau County, Illinois",0.03636364
17013,"Calhoun County, Illinois",0
17015,"Carroll County, Illinois",0
17017,"Cass County, Illinois",0.05555556
17019,"Champaign County, Illinois",0.03822763
17021,"Christian County, Illinois",0
17023,"Clark County, Illinois",0.00361011
17025,"Clay County, Illinois",0
17027,"Clinton County, Illinois",0.05493274
17029,"Coles County, Illinois",0.00492308
17031,"Cook County, Illinois",0.02538301
17033,"Crawford County, Illinois",0.0483559
17035,"Cumberland County, Illinois",0
17037,"DeKalb County, Illinois",0.02525108
17039,"De Witt County, Illinois",0.01518987
17041,"Douglas County, Illinois",0.00383877
17043,"DuPage County, Illinois",0.01795623
17045,"Edgar County, Illinois",0.00475059
17047,"Edwards County, Illinois",0
17049,"Effingham County, Illinois",0.01186624
17051,"Fayette County, Illinois",0.01904762
17053,"Ford County, Illinois",0.02229299
17055,"Franklin County, Illinois",0.01203611
17057,"Fulton County, Illinois",0.0024855
17059,"Gallatin County, Illinois",0.03149606
17061,"Greene County, Illinois",0
17063,"Grundy County, Illinois",0.02020202
17065,"Hamilton County, Illinois",0
17067,"Hancock County, Illinois",0
17069,"Hardin County, Illinois",0
17071,"Henderson County, Illinois",0.05
17073,"Henry County, Illinois",0.01168969
17075,"Iroquois County, Illinois",0.02219482
17077,"Jackson County, Illinois",0.04509284
17079,"Jasper County, Illinois",0
17081,"Jefferson County, Illinois",0.00990099
17083,"Jersey County, Illinois",0.07261411
17085,"Jo Daviess County, Illinois",0.0119863
17087,"Johnson County, Illinois",0
17089,"Kane County, Illinois",0.01998051
17091,"Kankakee County, Illinois",0.01859024
17093,"Kendall County, Illinois",0.0250882
17095,"Knox County, Illinois",0.02716186
17097,"Lake County, Illinois",0.01643721
17099,"LaSalle County, Illinois",0.0063762
17101,"Lawrence County, Illinois",0.00815217
17103,"Lee County, Illinois",0.00990917
17105,"Livingston County, Illinois",0.00506971
17107,"Logan County, Illinois",0.00868621
17109,"McDonough County, Illinois",0
17111,"McHenry County, Illinois",0.0199099
17113,"McLean County, Illinois",0.02300406
17115,"Macon County, Illinois",0.02376033
17117,"Macoupin County, Illinois",0.01034738
17119,"Madison County, Illinois",0.03377058
17121,"Marion County, Illinois",0.01167315
17123,"Marshall County, Illinois",0
17125,"Mason County, Illinois",0
17127,"Massac County, Illinois",0
17129,"Menard County, Illinois",0.04634146
17131,"Mercer County, Illinois",0.06748466
17133,"Monroe County, Illinois",0.00838926
17135,"Montgomery County, Illinois",0
17137,"Morgan County, Illinois",0.03684879
17139,"Moultrie County, Illinois",0.00722892
17141,"Ogle County, Illinois",0
17143,"Peoria County, Illinois",0.02167598
17145,"Perry County, Illinois",0.00845666
17147,"Piatt County, Illinois",0.08684211
17149,"Pike County, Illinois",0.02575107
17151,"Pope County, Illinois",0
17153,"Pulaski County, Illinois",0.07352941
17155,"Putnam County, Illinois",0
17157,"Randolph County, Illinois",0.01371571
17159,"Richland County, Illinois",0
17161,"Rock Island County, Illinois",0.01863028
17163,"St. Clair County, Illinois",0.01309031
17165,"Saline County, Illinois",0
17167,"Sangamon County, Illinois",0.02117554
17169,"Schuyler County, Illinois",0
17171,"Scott County, Illinois",0.01754386
17173,"Shelby County, Illinois",0.09355828
17175,"Stark County, Illinois",0.01507538
17177,"Stephenson County, Illinois",0.01234568
17179,"Tazewell County, Illinois",0.00955316
17181,"Union County, Illinois",0.02362205
17183,"Vermilion County, Illinois",0.01186521
17185,"Wabash County, Illinois",0.01025641
17187,"Warren County, Illinois",0.01474926
17189,"Washington County, Illinois",0.01966292
17191,"Wayne County, Illinois",0.01609195
17193,"White County, Illinois",0.12747875
17195,"Whiteside County, Illinois",0.00175234
17197,"Will County, Illinois",0.02409095
17199,"Williamson County, Illinois",0.02371274
17201,"Winnebago County, Illinois",0.01887718
17203,"Woodford County, Illinois",0.07979627